h3_res10,citation_count,citation_count_production,quality_weighted_citation_count,first_created_date,last_created_date,unique_devices,unique_officers,unique_vehicles,approved_count,rejected_count,approval_rate,rejection_rate,mode_police_station,mode_junction,mode_violation_label,mode_vehicle_type,violation_label_entropy,vehicle_type_entropy,device_days,officer_days,unique_devices_exposure,unique_officers_exposure,active_dates,citation_count_exposure_rows,eligible_for_corrected_ranking,minimum_device_days,raw_rate_per_device_day,raw_rank,raw_percentile,raw_rate_rank,gp_prior_shape,gp_prior_rate,gp_posterior_shape,gp_posterior_rate,gp_posterior_mean,gp_ci_lower,gp_ci_upper,normalized_propensity,corrected_rank,corrected_percentile,spatial_component_id,spatial_component_size,present_neighbor_count,is_spatial_island,spatial_test_status,gistar_z_score,gistar_p_value,gistar_q_value,gistar_class,spatial_hotspot_label,centroid_latitude,centroid_longitude,polygon_valid,nb_predicted_count,nb_predicted_rate,nb_predicted_rate_rank
8a6189209207fff,3724,3724,3234.0,2023-11-14,2024-04-06,31,31,1685,1187,490,0.3187432867883996,0.13157894736842105,HAL OLD AIRPORT,NO JUNCTION,NO PARKING,SCOOTER,1.3568986259620526,1.5854879458713949,159,147,31,31,79,3724,True,5,23.42138364779874,2,0.9998530492285085,6,37.29846777590565,10.0,3761.2984677759055,169.0,22.25620395133672,21.550561778832755,22.97305482009132,1.0,1,1.0,3,228,5,False,TESTED,8.344744166379567,0.001,0.023090197175156837,hotspot,HOT_95,12.933223647523121,77.69077993064658,True,632.8531628015053,3.9802085710786494,111
8a6016964b67fff,3154,3154,2613.0,2023-11-10,2024-04-08,24,19,2397,381,541,0.12079898541534559,0.1715282181357007,KODIGEHALLI,NO JUNCTION,WRONG PARKING,SCOOTER,0.8814541644431838,1.2419954703430676,169,171,24,19,112,3154,True,5,18.662721893491124,4,0.9995591476855253,15,37.29846777590565,10.0,3191.2984677759055,179.0,17.82848306020059,17.21523566180443,18.45231293455991,0.8010567794572084,2,0.9996305873660879,19,38,6,False,TESTED,2.8005685369163267,0.02,0.1921044002738318,not_significant,NOT_SIGNIFICANT,13.071489231479358,77.58774710712332,True,630.2293277038195,3.729167619549228,155
8a60145a3097fff,468,468,361.0,2023-11-26,2024-02-29,15,15,376,82,107,0.1752136752136752,0.22863247863247863,BYATARAYANAPURA,NO JUNCTION,WRONG PARKING,SCOOTER,0.5561305922230986,1.3296155664180804,21,21,15,15,17,468,True,5,22.285714285714285,107,0.9844232182218957,8,37.29846777590565,10.0,505.29846777590564,31.0,16.29995057341631,14.909529237102443,17.751469849971365,0.7323778398623692,3,0.9992611747321758,1,2121,3,False,TESTED,12.379223908422464,0.001,0.023090197175156837,hotspot,HOT_95,12.960535624212238,77.52813630309049,True,65.37026788107079,3.112869899098609,367
8a60145a26b7fff,1720,1720,1397.0,2023-11-11,2024-04-04,31,31,973,822,323,0.47790697674418603,0.1877906976744186,VIJAYANAGARA,BTP020 - HOSAHALLI METRO STATION,WRONG PARKING,SCOOTER,1.001803142370309,1.0827098271422622,103,103,31,31,77,1720,True,5,16.699029126213592,16,0.9977957384276267,22,37.29846777590565,10.0,1757.2984677759057,113.0,15.551313874123059,14.832634613032198,16.28675621804447,0.6987406256757024,4,0.9988917620982638,1,2121,6,False,TESTED,9.823948827426717,0.001,0.023090197175156837,hotspot,HOT_95,12.974369932444365,77.5458071466811,True,396.58786425944555,3.8503676141693743,135
8a6189209627fff,1399,1399,1215.0,2023-11-14,2024-04-07,26,26,1328,607,184,0.43388134381701216,0.13152251608291637,HAL OLD AIRPORT,NO JUNCTION,PARKING IN A MAIN ROAD,CAR,0.5066448169549881,1.7296584334691882,90,90,26,26,66,1399,True,5,15.544444444444444,29,0.9958853783982365,26,37.29846777590565,10.0,1436.2984677759057,100.0,14.362984677759057,13.629703590221784,15.11520787559994,0.645347459484276,5,0.9985223494643517,3,228,6,False,TESTED,1.4670693388968585,0.043,0.2785302624844088,not_significant,NOT_SIGNIFICANT,12.939621250951905,77.69570891933374,True,320.85740206224324,3.5650822451360358,190
8a60145a24f7fff,2125,2125,1532.0,2023-11-10,2024-04-08,18,18,1896,901,593,0.424,0.27905882352941175,MAGADI ROAD,"BTP070 - CHOLURPALYA JUNCTION, MAGADI ROAD",NO PARKING,SCOOTER,0.4129568183682553,1.0464105147112848,145,145,18,18,90,2125,True,5,14.655172413793103,11,0.9985304922850845,29,37.29846777590565,10.0,2162.2984677759055,155.0,13.950312695328423,13.368451227156763,14.54439508531893,0.6268055741145633,6,0.9981529368304396,1,2121,4,False,TESTED,4.340046076020798,0.351,0.478131395186821,not_significant,NOT_SIGNIFICANT,12.973283936260161,77.55120252481002,True,451.29958688120746,3.112410944008327,369
8a60145b6a67fff,1230,1230,985.0,2023-11-14,2024-04-06,32,29,481,810,245,0.6585365853658537,0.1991869918699187,HIGH GROUND,BTP032 - WINDSOR CIRCLE,WRONG PARKING,SCOOTER,0.03813932218627321,0.7227374112431102,89,89,32,29,65,1230,True,5,13.820224719101123,35,0.9950036737692873,36,37.29846777590565,10.0,1267.2984677759057,99.0,12.800994623999047,12.105832047598554,13.515290517349989,0.5751652281758594,7,0.9977835241965275,1,2121,6,False,TESTED,2.9178512444434332,0.404,0.4873234322649205,not_significant,NOT_SIGNIFICANT,12.991331718308668,77.58820577451051,True,338.63762886903163,3.804917178303726,140
8a601459eae7fff,153,153,108.0,2023-11-16,2024-01-11,4,4,121,85,45,0.5555555555555556,0.29411764705882354,PEENYA,NO JUNCTION,WRONG PARKING,SCOOTER,0.9642314760816806,1.138092826885108,6,6,4,4,6,153,True,5,25.5,387,0.9432770022042616,4,37.29846777590565,10.0,190.29846777590564,16.0,11.893654235994102,10.263766513045343,13.641891260146524,0.5343972521998642,8,0.9974141115626154,23,34,3,False,TESTED,2.5676313502218133,0.385,0.4853906842593073,not_significant,NOT_SIGNIFICANT,13.047150668663965,77.5013081513572,True,14.274996136050415,2.379166022675069,2264
8a60145a354ffff,311,311,247.0,2023-11-26,2024-02-29,13,13,283,70,64,0.22508038585209003,0.2057877813504823,BYATARAYANAPURA,BTP017 - ATTIGUPPE CIRCLE,WRONG PARKING,SCOOTER,0.3921296512456182,1.1937838388794257,20,20,13,13,17,311,True,5,15.55,184,0.9731080088170463,25,37.29846777590565,10.0,348.29846777590564,30.0,11.609948925863522,10.422543464030758,12.86048486892406,0.521650006049941,9,0.9970446989287034,1,2121,2,False,TESTED,11.243031382003593,0.002,0.0395167804004362,hotspot,HOT_95,12.960531748134393,77.52933891401095,True,59.526662197467346,2.976333109873367,462
8a60145b3d27fff,601,601,552.0,2023-11-10,2024-03-19,17,18,528,338,49,0.562396006655574,0.08153078202995008,MALLESHWARAM,NO JUNCTION,NO PARKING,MOTOR CYCLE,0.7971368803596252,1.8773991661757006,45,45,17,18,34,601,True,5,13.355555555555556,86,0.9875091844232182,39,37.29846777590565,10.0,638.2984677759057,55.0,11.60542668683465,10.722448584234817,12.522842832749424,0.5214468160073462,10,0.9966752862947913,1,2121,5,False,TESTED,3.6187093049062313,0.162,0.4088538374657596,not_significant,NOT_SIGNIFICANT,13.005288186663654,77.56858213948918,True,133.37258106794465,2.9638351348432144,477
8a60145b5ca7fff,3237,3237,2710.0,2023-11-11,2024-04-08,59,53,2249,1336,527,0.4127278344145814,0.16280506641952425,UPPARPET,BTP044 - SAGAR THEATRE JUNCTION,NO PARKING,SCOOTER,1.0588271854677398,2.0298882203428876,273,272,59,53,126,3237,True,5,11.857142857142858,3,0.9997060984570169,54,37.29846777590565,10.0,3274.2984677759055,283.0,11.56995925009154,11.177019622243712,11.96959239129447,0.5198532182482378,11,0.9963058736608792,1,2121,6,False,TESTED,3.3171817576424654,0.193,0.4199497493566272,not_significant,NOT_SIGNIFICANT,12.97319291798249,77.5788750264373,True,1755.9370638646894,6.432003896940254,7
8a61892e9a8ffff,1396,1396,1063.0,2023-11-11,2024-03-27,33,33,701,680,333,0.4871060171919771,0.23853868194842406,SHIVAJINAGAR,BTP051 - SAFINA PLAZA JUNCTION,WRONG PARKING,SCOOTER,1.1938839553204064,1.428308826603191,114,115,33,33,76,1396,True,5,12.24561403508772,31,0.9955914768552535,46,37.29846777590565,10.0,1433.2984677759057,124.0,11.558858611096014,10.968128857761148,12.16486425823558,0.5193544521954195,12,0.9959364610269671,1,2121,6,False,TESTED,4.89353745264959,0.044,0.28007783632020694,not_significant,NOT_SIGNIFICANT,12.981650062878533,77.60670031829507,True,453.46240076286455,3.977740357568987,112
8a60145a221ffff,1490,1490,1074.0,2023-11-10,2024-04-08,47,46,1393,760,416,0.5100671140939598,0.2791946308724832,VIJAYANAGARA,"BTP016 - 5TH MAIN ROAD, RPC LAYOUT",WRONG PARKING,SCOOTER,0.5419850237779106,1.6811055133158546,125,125,47,46,79,1490,True,5,11.92,26,0.9963262307127112,53,37.29846777590565,10.0,1527.2984677759057,135.0,11.313321983525228,10.752987241077218,11.88768796066269,0.5083221742693342,13,0.995567048393055,1,2121,4,False,TESTED,3.674624544823959,0.176,0.414349457970718,not_significant,NOT_SIGNIFICANT,12.964774580420297,77.53903148565863,True,631.641738740024,5.053133909920192,41
8a60145b6ae7fff,447,447,416.0,2023-11-22,2024-04-07,16,13,286,255,31,0.5704697986577181,0.06935123042505593,HIGH GROUND,BTP032 - WINDSOR CIRCLE,NO PARKING,SCOOTER,0.7939970484053729,0.9448183808670507,33,33,16,13,31,447,True,5,13.545454545454545,115,0.9832476120499632,38,37.29846777590565,10.0,484.29846777590564,43.0,11.262755064555945,10.281878838435341,12.287678370740476,0.5060501372642884,14,0.995197635759143,1,2121,4,False,TESTED,7.479000995055186,0.006,0.09321372112686842,not_significant,HOT_90,12.994536025543995,77.58886142212349,True,97.07225940033238,2.9415836181918906,498
8a61892e906ffff,219,219,124.0,2023-11-18,2024-03-13,9,9,176,66,95,0.3013698630136986,0.4337899543378995,SHIVAJINAGAR,NO JUNCTION,WRONG PARKING,SCOOTER,-0.0,0.8583296186179009,13,12,9,9,7,219,True,5,16.846153846153847,282,0.9587068332108744,21,37.29846777590565,10.0,256.29846777590564,23.0,11.14341164243068,9.820799493304873,12.548361779784033,0.5006878831087186,15,0.9948282231252309,1,2121,6,False,TESTED,4.6226419515077835,0.046,0.2833138080820379,not_significant,NOT_SIGNIFICANT,12.983783745166567,77.6079401320943,True,35.54574297578303,2.734287921214079,813
