h3_res10,centroid_latitude,centroid_longitude,historical_station,mode_police_station,citation_count,device_days,normalized_propensity,corrected_rank,spatial_test_status,mode_junction,candidate_tier,selection_rank,selection_reason,inside_demo_bbox,region_validation_status,region_exclusion_reason,reverse_geocoded_locality,reverse_geocoded_sub_locality,formatted_address,phase2_run_id,phase3_run_id,generated_at
8a6189219cc7fff,12.987597932862966,77.73570523171426,WHITEFIELD,WHITEFIELD,117,14,0.2888678967021208,77.0,TESTED,NO JUNCTION,PRIMARY,1,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,Whitefield,International Technology Park Bangalore,"Whitefield Road, International Technology Park Bangalore, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a61892086a7fff,12.95023012497599,77.71758194081633,WHITEFIELD,WHITEFIELD,75,11,0.24027215495775323,129.0,TESTED,NO JUNCTION,PRIMARY,2,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,Thubarahalli,Vaswani Brentwood,"Vibgyor High School Road, Vaswani Brentwood, Thubarahalli, Bengaluru, Karnataka. Pin-560066 (India)",20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a6189219ceffff,12.98653062288719,77.73508398326939,WHITEFIELD,WHITEFIELD,57,10,0.21184759984696772,214.0,TESTED,NO JUNCTION,PRIMARY,3,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,Whitefield,EOIZ Industrial Area,"Whitefield Road, Harman Campus, EOIZ Industrial Area, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a618920ac1ffff,12.964075143821333,77.73288751133244,WHITEFIELD,WHITEFIELD,82,17,0.1985271962433024,276.0,TESTED,NO JUNCTION,PRIMARY,4,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,Whitefield,SV Mayfair,"Nallurahalli Road, SV Mayfair, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a6189218a07fff,12.98541645373974,77.74651839120119,WHITEFIELD,WHITEFIELD,33,6,0.19741256171092098,282.0,TESTED,NO JUNCTION,PRIMARY,5,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,Whitefield,Gulmohar,"Whitefield Road, Gulmohar, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a6189208687fff,12.951302116841699,77.71699781035542,WHITEFIELD,WHITEFIELD,226,60,0.16900486222795535,479.0,TESTED,NO JUNCTION,PRIMARY,6,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,Munnekolala,Green Garden Layout,"Vibgyor High School Road, Samhita Rainbow MTB Apartment, Green Garden Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a61892191b7fff,12.986535274023305,77.73387849488357,WHITEFIELD,WHITEFIELD,73,20,0.16519508899941443,523.0,TESTED,NO JUNCTION,PRIMARY,7,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,Whitefield,EOIZ Industrial Area,"Pattandur Agrahara Road, Harman Campus, EOIZ Industrial Area, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a618920a987fff,12.956589928158506,77.73215543705382,WHITEFIELD,WHITEFIELD,65,21,0.14827104301486752,788.0,TESTED,NO JUNCTION,PRIMARY,8,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,Siddapura,Miraya Rose,"HAL Airport Road, Miraya Rose, Siddapura, Bengaluru, Karnataka. Pin-560066 (India)",20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a6189218867fff,12.983253329248056,77.75250970133517,WHITEFIELD,WHITEFIELD,35,12,0.14765743506841456,810.0,TESTED,NO JUNCTION,PRIMARY,9,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,Whitefield,Hope Farm Circle,"Whitefield Main Road, Hope Farm Circle, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a618921d497fff,12.98218596702242,77.75188828712741,WHITEFIELD,WHITEFIELD,17,7,0.1435117831959798,895.0,TESTED,NO JUNCTION,PRIMARY,10,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,Whitefield,HM Tech Park,"Whitefield Main Road, HM Tech Park, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
