physical_segment_id,directed_segment_id,h3_res10,direction,endpoint_a_latitude,endpoint_a_longitude,endpoint_b_latitude,endpoint_b_longitude,route_distance_m,route_duration_reference_s,reference_duration_source,route_geometry,route_midpoint_latitude,route_midpoint_longitude,midpoint_distance_from_h3_m,route_intersects_or_near_h3,route_detour_ratio,snap_used,snap_status,route_status,segment_status,segment_quality_score,segment_algorithm_version,road_name,locality,sub_locality,formatted_address,segment_created_at,historical_station,normalized_propensity,corrected_rank,phase2_run_id,phase3_run_id
pseg_b32a4f277162e4d2,pseg_b32a4f277162e4d2_A_TO_B,8a6189219cc7fff,A_TO_B,12.987537,77.737782,12.987847,77.733668,448.0,46.2,route_adv,"{""type"": ""LineString"", ""coordinates"": [[77.73778, 12.98754], [77.73727, 12.98754], [77.7372, 12.98754], [77.73706, 12.98754], [77.73673, 12.98755], [77.73634, 12.98755], [77.73593, 12.98757], [77.73583, 12.98757], [77.7351, 12.98764], [77.7344, 12.98774], [77.73371, 12.98784], [77.73367, 12.98785]]}",12.987580937189676,77.73571594073624,2.2176172626598976,True,1.002048199419375,True,SNAPPED,OK,VALID,0.997353,phase3-seg-v1,Whitefield Road,Whitefield,International Technology Park Bangalore,"Whitefield Road, International Technology Park Bangalore, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",2026-06-22T19:09:06.591263+05:30,WHITEFIELD,0.2888678967021208,77.0,20260622_132248_phase2,20260622_190858_phase3
pseg_b32a4f277162e4d2,pseg_b32a4f277162e4d2_B_TO_A,8a6189219cc7fff,B_TO_A,12.987847,77.733668,12.987537,77.737782,448.0,46.2,route_adv,"{""type"": ""LineString"", ""coordinates"": [[77.73778, 12.98754], [77.73727, 12.98754], [77.7372, 12.98754], [77.73706, 12.98754], [77.73673, 12.98755], [77.73634, 12.98755], [77.73593, 12.98757], [77.73583, 12.98757], [77.7351, 12.98764], [77.7344, 12.98774], [77.73371, 12.98784], [77.73367, 12.98785]]}",12.987580937189676,77.73571594073624,2.2176172626598976,True,1.002048199419375,True,SNAPPED,OK,VALID,0.997353,phase3-seg-v1,Whitefield Road,Whitefield,International Technology Park Bangalore,"Whitefield Road, International Technology Park Bangalore, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",2026-06-22T19:09:06.591263+05:30,WHITEFIELD,0.2888678967021208,77.0,20260622_132248_phase2,20260622_190858_phase3
pseg_73d08ed8f8958e84,pseg_73d08ed8f8958e84_A_TO_B,8a61892086a7fff,A_TO_B,12.951857,77.717502,12.948033,77.718058,449.2,69.7,route_adv,"{""type"": ""LineString"", ""coordinates"": [[77.7175, 12.95186], [77.7175, 12.95186], [77.7175, 12.95178], [77.71751, 12.9516], [77.71751, 12.95143], [77.71755, 12.95098], [77.71759, 12.95058], [77.71761, 12.95045], [77.71763, 12.95015], [77.71766, 12.94998], [77.71771, 12.94978], [77.71774, 12.94968], [77.71778, 12.94961], [77.71782, 12.94958], [77.71796, 12.94958], [77.718, 12.94956], [77.71802, 12.9495], [77.71804, 12.94916], [77.71804, 12.94891], [77.71806, 12.94803]]}",12.949851247305531,77.71769218817361,43.79052643472202,True,1.045971960581223,True,SNAPPED,OK,VALID,0.968684,phase3-seg-v1,Vibgyor High School Road,Thubarahalli,Rajni Ashish Apartment,"Vibgyor High School Road, Rajni Ashish Apartment, Thubarahalli, Bengaluru, Karnataka. Pin-560066 (India)",2026-06-22T19:09:08.443824+05:30,WHITEFIELD,0.24027215495775323,129.0,20260622_132248_phase2,20260622_190858_phase3
pseg_73d08ed8f8958e84,pseg_73d08ed8f8958e84_B_TO_A,8a61892086a7fff,B_TO_A,12.948033,77.718058,12.951857,77.717502,449.2,69.7,route_adv,"{""type"": ""LineString"", ""coordinates"": [[77.7175, 12.95186], [77.7175, 12.95186], [77.7175, 12.95178], [77.71751, 12.9516], [77.71751, 12.95143], [77.71755, 12.95098], [77.71759, 12.95058], [77.71761, 12.95045], [77.71763, 12.95015], [77.71766, 12.94998], [77.71771, 12.94978], [77.71774, 12.94968], [77.71778, 12.94961], [77.71782, 12.94958], [77.71796, 12.94958], [77.718, 12.94956], [77.71802, 12.9495], [77.71804, 12.94916], [77.71804, 12.94891], [77.71806, 12.94803]]}",12.949851247305531,77.71769218817361,43.79052643472202,True,1.045971960581223,True,SNAPPED,OK,VALID,0.968684,phase3-seg-v1,Vibgyor High School Road,Thubarahalli,Rajni Ashish Apartment,"Vibgyor High School Road, Rajni Ashish Apartment, Thubarahalli, Bengaluru, Karnataka. Pin-560066 (India)",2026-06-22T19:09:08.443824+05:30,WHITEFIELD,0.24027215495775323,129.0,20260622_132248_phase2,20260622_190858_phase3
pseg_ba91fe092e03c491,pseg_ba91fe092e03c491_A_TO_B,8a6189219ceffff,A_TO_B,12.987573,77.735828,12.985827,77.733518,471.0,88.1,route_adv,"{""type"": ""LineString"", ""coordinates"": [[77.73583, 12.98757], [77.7351, 12.98764], [77.7344, 12.98774], [77.73371, 12.98784], [77.7337, 12.9873], [77.7337, 12.98707], [77.73369, 12.98649], [77.73364, 12.98649], [77.73359, 12.98649], [77.73358, 12.98587], [77.73355, 12.98585], [77.73352, 12.98583]]}",12.987812685561277,77.73370949417706,206.16061594099457,True,1.4869214554493329,True,SNAPPED,OK,VALID,0.815945,phase3-seg-v1,Whitefield Road,Whitefield,Sadaramangala Industrial Area,"Pattandur Agrahara Road, Sadaramangala Industrial Area, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",2026-06-22T19:09:11.427074+05:30,WHITEFIELD,0.21184759984696772,214.0,20260622_132248_phase2,20260622_190858_phase3
pseg_ba91fe092e03c491,pseg_ba91fe092e03c491_B_TO_A,8a6189219ceffff,B_TO_A,12.985827,77.733518,12.987573,77.735828,471.0,88.1,route_adv,"{""type"": ""LineString"", ""coordinates"": [[77.73583, 12.98757], [77.7351, 12.98764], [77.7344, 12.98774], [77.73371, 12.98784], [77.7337, 12.9873], [77.7337, 12.98707], [77.73369, 12.98649], [77.73364, 12.98649], [77.73359, 12.98649], [77.73358, 12.98587], [77.73355, 12.98585], [77.73352, 12.98583]]}",12.987812685561277,77.73370949417706,206.16061594099457,True,1.4869214554493329,True,SNAPPED,OK,VALID,0.815945,phase3-seg-v1,Whitefield Road,Whitefield,Sadaramangala Industrial Area,"Pattandur Agrahara Road, Sadaramangala Industrial Area, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",2026-06-22T19:09:11.427074+05:30,WHITEFIELD,0.21184759984696772,214.0,20260622_132248_phase2,20260622_190858_phase3
pseg_aa4e158b504adf86,pseg_aa4e158b504adf86_A_TO_B,8a618920ac1ffff,A_TO_B,12.965653,77.732812,12.962048,77.732903,454.5,83.1,route_adv,"{""type"": ""LineString"", ""coordinates"": [[77.73281, 12.96565], [77.73336, 12.96557], [77.73333, 12.96532], [77.73331, 12.96519], [77.73327, 12.96489], [77.73327, 12.9645], [77.7332, 12.96396], [77.73318, 12.96382], [77.73314, 12.96354], [77.7331, 12.96322], [77.733, 12.96253], [77.73297, 12.96235], [77.73292, 12.96212], [77.7329, 12.96205]]}",12.964073346813025,77.7332146931054,35.454199400052794,True,1.1334758826681193,True,SNAPPED,OK,VALID,0.96288,phase3-seg-v1,Nallurahalli Road,Whitefield,SV Mayfair,"Nallurahalli Road, SV Mayfair, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",2026-06-22T19:09:15.066516+05:30,WHITEFIELD,0.1985271962433024,276.0,20260622_132248_phase2,20260622_190858_phase3
pseg_aa4e158b504adf86,pseg_aa4e158b504adf86_B_TO_A,8a618920ac1ffff,B_TO_A,12.962048,77.732903,12.965653,77.732812,454.5,83.1,route_adv,"{""type"": ""LineString"", ""coordinates"": [[77.73281, 12.96565], [77.73336, 12.96557], [77.73333, 12.96532], [77.73331, 12.96519], [77.73327, 12.96489], [77.73327, 12.9645], [77.7332, 12.96396], [77.73318, 12.96382], [77.73314, 12.96354], [77.7331, 12.96322], [77.733, 12.96253], [77.73297, 12.96235], [77.73292, 12.96212], [77.7329, 12.96205]]}",12.964073346813025,77.7332146931054,35.454199400052794,True,1.1334758826681193,True,SNAPPED,OK,VALID,0.96288,phase3-seg-v1,Nallurahalli Road,Whitefield,SV Mayfair,"Nallurahalli Road, SV Mayfair, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",2026-06-22T19:09:15.066516+05:30,WHITEFIELD,0.1985271962433024,276.0,20260622_132248_phase2,20260622_190858_phase3
pseg_227e1676bf7bcf79,pseg_227e1676bf7bcf79_A_TO_B,8a6189218a07fff,A_TO_B,12.985717,77.748464,12.985655,77.745044,447.8,76.4,route_adv,"{""type"": ""LineString"", ""coordinates"": [[77.74846, 12.98572], [77.74829, 12.98565], [77.74778, 12.98544], [77.74773, 12.98533], [77.74743, 12.98544], [77.74703, 12.98559], [77.74663, 12.98576], [77.7462, 12.98591], [77.74571, 12.98609], [77.74525, 12.98623], [77.74504, 12.98566], [77.74504, 12.98566]]}",12.985766010503992,77.74661276988856,40.191623005712366,True,1.208228000018744,True,SNAPPED,OK,VALID,0.95384,phase3-seg-v1,Dinnur Main Road,Whitefield,Gulmohar,"Whitefield Road, Gulmohar, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",2026-06-22T19:09:16.748441+05:30,WHITEFIELD,0.19741256171092098,282.0,20260622_132248_phase2,20260622_190858_phase3
pseg_227e1676bf7bcf79,pseg_227e1676bf7bcf79_B_TO_A,8a6189218a07fff,B_TO_A,12.985655,77.745044,12.985717,77.748464,447.8,76.4,route_adv,"{""type"": ""LineString"", ""coordinates"": [[77.74846, 12.98572], [77.74829, 12.98565], [77.74778, 12.98544], [77.74773, 12.98533], [77.74743, 12.98544], [77.74703, 12.98559], [77.74663, 12.98576], [77.7462, 12.98591], [77.74571, 12.98609], [77.74525, 12.98623], [77.74504, 12.98566], [77.74504, 12.98566]]}",12.985766010503992,77.74661276988856,40.191623005712366,True,1.208228000018744,True,SNAPPED,OK,VALID,0.95384,phase3-seg-v1,Dinnur Main Road,Whitefield,Gulmohar,"Whitefield Road, Gulmohar, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",2026-06-22T19:09:16.748441+05:30,WHITEFIELD,0.19741256171092098,282.0,20260622_132248_phase2,20260622_190858_phase3
