h3_res10,citation_count,citation_count_production,quality_weighted_citation_count,first_created_date,last_created_date,unique_devices,unique_officers,unique_vehicles,approved_count,rejected_count,approval_rate,rejection_rate,mode_police_station,mode_junction,mode_violation_label,mode_vehicle_type,violation_label_entropy,vehicle_type_entropy,device_days,officer_days,unique_devices_exposure,unique_officers_exposure,active_dates,citation_count_exposure_rows,eligible_for_corrected_ranking,minimum_device_days,raw_rate_per_device_day,raw_rank,raw_percentile,raw_rate_rank,gp_prior_shape,gp_prior_rate,gp_posterior_shape,gp_posterior_rate,gp_posterior_mean,gp_ci_lower,gp_ci_upper,normalized_propensity,corrected_rank,corrected_percentile,spatial_component_id,spatial_component_size,present_neighbor_count,is_spatial_island,spatial_test_status,gistar_z_score,gistar_p_value,gistar_q_value,gistar_class,spatial_hotspot_label,centroid_latitude,centroid_longitude,polygon_valid,nb_predicted_count,nb_predicted_rate,nb_predicted_rate_rank
8a61892e916ffff,4125,4125,3161.0,2023-11-10,2024-04-08,61,56,3366,1178,964,0.2855757575757576,0.2336969696969697,SHIVAJINAGAR,BTP051 - SAFINA PLAZA JUNCTION,WRONG PARKING,PASSENGER AUTO,1.120253440563943,1.6411503242165466,703,704,61,56,149,4125,True,5,5.8677098150782365,1,1.0,334,37.29846777590565,10.0,4162.298467775906,713.0,5.83772576125653,5.661710340866012,6.016397946241102,0.262296561175515,103,0.9623199113409678,1,2121,6,False,TESTED,2.8650236381708627,0.051,0.2938238692610231,not_significant,NOT_SIGNIFICANT,12.981637759384014,77.61031163675744,True,4792.25330259434,6.816861027872461,2
8a6189209207fff,3724,3724,3234.0,2023-11-14,2024-04-06,31,31,1685,1187,490,0.3187432867883996,0.13157894736842105,HAL OLD AIRPORT,NO JUNCTION,NO PARKING,SCOOTER,1.3568986259620526,1.5854879458713949,159,147,31,31,79,3724,True,5,23.42138364779874,2,0.9998530492285085,6,37.29846777590565,10.0,3761.2984677759055,169.0,22.25620395133672,21.550561778832755,22.97305482009132,1.0,1,1.0,3,228,5,False,TESTED,8.344744166379567,0.001,0.023090197175156837,hotspot,HOT_95,12.933223647523121,77.69077993064658,True,632.8531628015053,3.9802085710786494,111
8a60145b5ca7fff,3237,3237,2710.0,2023-11-11,2024-04-08,59,53,2249,1336,527,0.4127278344145814,0.16280506641952425,UPPARPET,BTP044 - SAGAR THEATRE JUNCTION,NO PARKING,SCOOTER,1.0588271854677398,2.0298882203428876,273,272,59,53,126,3237,True,5,11.857142857142858,3,0.9997060984570169,54,37.29846777590565,10.0,3274.2984677759055,283.0,11.56995925009154,11.177019622243712,11.96959239129447,0.5198532182482378,11,0.9963058736608792,1,2121,6,False,TESTED,3.3171817576424654,0.193,0.4199497493566272,not_significant,NOT_SIGNIFICANT,12.97319291798249,77.5788750264373,True,1755.9370638646894,6.432003896940254,7
8a6016964b67fff,3154,3154,2613.0,2023-11-10,2024-04-08,24,19,2397,381,541,0.12079898541534559,0.1715282181357007,KODIGEHALLI,NO JUNCTION,WRONG PARKING,SCOOTER,0.8814541644431838,1.2419954703430676,169,171,24,19,112,3154,True,5,18.662721893491124,4,0.9995591476855253,15,37.29846777590565,10.0,3191.2984677759055,179.0,17.82848306020059,17.21523566180443,18.45231293455991,0.8010567794572084,2,0.9996305873660879,19,38,6,False,TESTED,2.8005685369163267,0.02,0.1921044002738318,not_significant,NOT_SIGNIFICANT,13.071489231479358,77.58774710712332,True,630.2293277038195,3.729167619549228,155
8a60145b5987fff,3138,3138,2698.0,2023-11-11,2024-04-08,53,46,2670,1072,440,0.34161886551943915,0.14021669853409816,CITY MARKET,BTP082 - KR MARKET JUNCTION,WRONG PARKING,SCOOTER,0.7309402182289684,1.9178435840014767,361,361,53,46,139,3138,True,5,8.692520775623269,5,0.9994121969140338,107,37.29846777590565,10.0,3175.2984677759055,371.0,8.558755977832629,8.263625601554244,8.858992184252003,0.3845559645547095,28,0.9900258588843739,1,2121,6,False,TESTED,3.179685091612003,0.077,0.3368320932714227,not_significant,NOT_SIGNIFICANT,12.964651164404392,77.57632508363632,True,2131.197600187976,5.903594460354505,16
8a60145b5517fff,3042,3042,2806.0,2023-11-10,2024-04-08,55,49,2191,1276,236,0.41946088099934253,0.07758053911900066,UPPARPET,BTP040 - ELITE JUNCTION,NO PARKING,SCOOTER,0.6685121167611937,1.8159413088559158,331,331,55,49,136,3042,True,5,9.190332326283988,6,0.9992652461425422,90,37.29846777590565,10.0,3079.2984677759055,341.0,9.030200785266585,8.714039586406384,9.351917003612888,0.40573858889014297,26,0.990764684152198,1,2121,6,False,TESTED,4.291033676103833,0.035,0.25568238322255626,not_significant,NOT_SIGNIFICANT,12.977475805197638,77.57654003177262,True,1984.4107047393657,5.995198503744307,14
8a60145b59a7fff,2831,2831,2341.0,2023-11-10,2024-04-08,59,49,2445,704,490,0.24867537972447898,0.17308371600141292,CITY MARKET,BTP082 - KR MARKET JUNCTION,WRONG PARKING,SCOOTER,0.4899414396560992,2.1469148927454254,403,402,59,49,143,2831,True,5,7.024813895781637,7,0.9991182953710507,192,37.29846777590565,10.0,2868.2984677759055,413.0,6.94503260962689,6.6931719142029555,7.20147988710955,0.31204928858543135,58,0.9789434798670115,1,2121,6,False,TESTED,3.328797921002253,0.048,0.2886864172182482,not_significant,NOT_SIGNIFICANT,12.963580396155455,77.57690880767531,True,2712.929743002602,6.731835590577177,3
8a61892e9357fff,2740,2740,2074.0,2023-11-10,2024-04-08,51,56,2334,1274,666,0.464963503649635,0.24306569343065693,SHIVAJINAGAR,BTP211 - CENTRAL STREET JUNCTION,WRONG PARKING,PASSENGER AUTO,1.1392924650559435,0.9469937192376423,313,314,51,56,130,2740,True,5,8.753993610223642,8,0.9989713445995592,105,37.29846777590565,10.0,2777.2984677759055,323.0,8.598447268656054,8.281605571326454,8.921153538227156,0.3863393455351413,27,0.9903952715182859,1,2121,6,False,TESTED,1.4076010959434542,0.353,0.478131395186821,not_significant,NOT_SIGNIFICANT,12.98380003671031,77.60312516790508,True,1681.5450872136569,5.372348521449383,29
8a60145b5537fff,2673,2673,2310.0,2023-11-10,2024-04-08,62,55,2210,1275,363,0.4769921436588103,0.13580246913580246,UPPARPET,BTP040 - ELITE JUNCTION,WRONG PARKING,SCOOTER,1.0249253218904049,1.9400890281051415,311,310,62,55,137,2673,True,5,8.594855305466238,9,0.9988243938280676,110,37.29846777590565,10.0,2710.2984677759055,321.0,8.443297407401575,8.128386730812496,8.764109191845451,0.37936826180524225,31,0.9889176209826376,1,2121,6,False,TESTED,6.3314052561460405,0.002,0.0395167804004362,hotspot,HOT_95,12.976405098564122,77.57712378077314,True,2084.377591013807,6.702178749240537,4
8a60145b3057fff,2302,2302,1969.0,2023-11-10,2024-04-08,44,40,2008,845,333,0.36707211120764555,0.14465682015638576,MALLESHWARAM,"BTP001 - 10TH CROSS, DR. RAJKUMAR ROAD",WRONG PARKING,CAR,0.9668841566007214,1.6629133673713685,290,290,44,40,129,2302,True,5,7.937931034482759,10,0.998677443056576,151,37.29846777590565,10.0,2339.2984677759055,300.0,7.797661559253018,7.484843169762611,8.11679410757461,0.3503590089443212,42,0.9848540820096048,1,2121,6,False,TESTED,2.3749432077687236,0.122,0.37967019454117307,not_significant,NOT_SIGNIFICANT,13.008536620925485,77.55479847816567,True,1445.955888816626,4.986054789022848,45
