h3_res10,spatial_component_id,spatial_component_size,present_neighbor_count,is_spatial_island,spatial_test_status,gistar_z_score,gistar_p_value,gistar_q_value,spatial_hotspot_label
8a60144a2cb7fff,261,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a60144a2d9ffff,261,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a60144a2db7fff,427,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a60144a649ffff,262,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a60144b4d97fff,428,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a60144b586ffff,262,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a60144b5a07fff,97,7,2,False,TESTED,-1.2108808849463875,0.071,0.32917166432057776,NOT_HOT
8a60144b5a0ffff,97,7,3,False,TESTED,-0.03819181326791418,0.188,0.4172423528447674,NOT_HOT
8a60144b5a27fff,97,7,2,False,TESTED,0.8330562575861157,0.382,0.4848493200665174,NOT_SIGNIFICANT
8a60144b5a57fff,97,7,2,False,TESTED,-0.5396281455840601,0.148,0.3970041053441771,NOT_HOT
8a60144b5ae7fff,97,7,2,False,TESTED,-0.5396281455840601,0.148,0.3970041053441771,NOT_HOT
8a60144b5b17fff,97,7,1,False,TESTED,0.22786158882507435,0.339,0.47535887625308854,NOT_SIGNIFICANT
8a60144b5b1ffff,97,7,2,False,TESTED,0.038191813267919185,0.347,0.4773682282349774,NOT_SIGNIFICANT
8a6014510967fff,429,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a6014511ca7fff,430,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a601451204ffff,200,3,2,False,SPATIAL_STAT_FAILED,,,,NOT_TESTED
8a601451206ffff,200,3,2,False,SPATIAL_STAT_FAILED,,,,NOT_TESTED
8a60145120cffff,201,3,2,False,SPATIAL_STAT_FAILED,,,,NOT_TESTED
8a60145120dffff,201,3,1,False,TESTED,-1.414213562373055,0.001,0.023090197175156837,NOT_HOT
8a6014512337fff,200,3,2,False,SPATIAL_STAT_FAILED,,,,NOT_TESTED
8a60145123b7fff,201,3,1,False,TESTED,0.7071067811865344,0.001,0.023090197175156837,HOT_95
8a601451254ffff,263,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a601451255ffff,263,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a6014512617fff,431,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a601451262ffff,264,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a6014512687fff,432,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a6014512757fff,264,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a6014512847fff,433,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a6014512a0ffff,265,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a6014512a57fff,265,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a60145140a7fff,202,3,2,False,COMPONENT_CONSTANT_VALUE,,,,NOT_TESTED
8a60145140affff,202,3,1,False,COMPONENT_CONSTANT_VALUE,,,,NOT_TESTED
8a601451419ffff,202,3,1,False,COMPONENT_CONSTANT_VALUE,,,,NOT_TESTED
8a6014514807fff,21,36,3,False,TESTED,0.1997040215230348,0.463,0.49674635517353916,NOT_SIGNIFICANT
8a6014514827fff,21,36,3,False,TESTED,0.1997040215230348,0.399,0.4873234322649205,NOT_SIGNIFICANT
8a601451482ffff,21,36,3,False,TESTED,1.4475864915918404,0.146,0.3964892346761776,NOT_SIGNIFICANT
8a6014514837fff,21,36,4,False,TESTED,0.04498424211344493,0.253,0.44734653094867327,NOT_SIGNIFICANT
8a601451495ffff,21,36,1,False,TESTED,1.1509793685018868,0.388,0.4853906842593073,NOT_SIGNIFICANT
8a601451498ffff,21,36,3,False,TESTED,-1.1902973180768586,0.093,0.35673225601643616,NOT_HOT
8a601451499ffff,21,36,2,False,TESTED,-0.5138157266071202,0.476,0.4995878885112284,NOT_HOT
8a60145149affff,21,36,2,False,TESTED,-0.6358174023835668,0.155,0.4009841858607394,NOT_HOT
8a6014514c07fff,21,36,2,False,TESTED,1.4308551039719704,0.174,0.41411154831043634,NOT_SIGNIFICANT
8a6014514c17fff,21,36,1,False,TESTED,1.1509793685018868,0.382,0.4848493200665174,NOT_SIGNIFICANT
8a6014514c27fff,21,36,3,False,TESTED,0.8761718340907907,0.333,0.47371442987884865,NOT_SIGNIFICANT
8a6014514d0ffff,21,36,3,False,TESTED,0.9773818401856467,0.198,0.4220941323978499,NOT_SIGNIFICANT
8a6014514d1ffff,21,36,3,False,TESTED,-0.5767682716847624,0.242,0.4448629385822831,NOT_HOT
8a6014514d47fff,21,36,2,False,TESTED,0.35828970737303056,0.237,0.44272081864061696,NOT_SIGNIFICANT
8a6014514d6ffff,21,36,2,False,TESTED,-0.951379453924342,0.116,0.3752791100805932,NOT_HOT
8a6014514d77fff,21,36,2,False,TESTED,0.2942144643092119,0.352,0.478131395186821,NOT_SIGNIFICANT
8a6014514d87fff,21,36,3,False,TESTED,-1.7511106219043235,0.079,0.3402721444097155,NOT_HOT
8a6014514da7fff,21,36,4,False,TESTED,-1.21012587273357,0.069,0.32527781410919754,NOT_HOT
8a6014514daffff,21,36,3,False,TESTED,-1.3127693864748524,0.3,0.4679005419220933,NOT_HOT
8a6014514db7fff,21,36,5,False,TESTED,-0.5382419056212138,0.362,0.4797334982257906,NOT_HOT
8a6014516127fff,434,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a6014516487fff,81,9,3,False,TESTED,0.7758407136187025,0.348,0.47785073251866583,NOT_SIGNIFICANT
8a601451649ffff,81,9,1,False,TESTED,0.5023981061103551,0.393,0.48633544331791523,NOT_SIGNIFICANT
8a60145164a7fff,81,9,3,False,TESTED,1.5538260571292912,0.068,0.32525103311050624,NOT_SIGNIFICANT
8a60145164b7fff,81,9,4,False,TESTED,1.688493134549119,0.085,0.34949721038008535,NOT_SIGNIFICANT
8a60145164cffff,116,6,1,False,TESTED,1.1877957836550526,0.384,0.4850873245340743,NOT_SIGNIFICANT
8a6014516597fff,81,9,4,False,TESTED,-0.7758407136187058,0.37,0.48272989764594987,NOT_HOT
8a601451659ffff,81,9,4,False,TESTED,-0.2701502403368278,0.226,0.4381587016256695,NOT_HOT
8a60145165b7fff,81,9,2,False,TESTED,-1.591330502276773,0.001,0.023090197175156837,NOT_HOT
8a601451661ffff,435,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a60145166b7fff,116,6,3,False,TESTED,-1.1877957836550488,0.001,0.023090197175156837,NOT_HOT
8a601451679ffff,116,6,2,False,TESTED,-0.2454768324614639,0.1,0.3612269992477323,NOT_HOT
8a60145167affff,436,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a6014516957fff,437,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a6014516c97fff,438,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a601451845ffff,266,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a60145187a7fff,266,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a601451bda7fff,439,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a601451d69ffff,440,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a601451e29ffff,267,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a601451e2c7fff,441,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a601451e4cffff,268,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a601451e66ffff,267,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a601451e7b7fff,268,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a601453341ffff,117,6,1,False,TESTED,-1.3776588753177115,0.001,0.023090197175156837,NOT_HOT
8a6014533487fff,117,6,4,False,TESTED,-0.48276925300310936,0.001,0.023090197175156837,NOT_HOT
8a601453348ffff,117,6,2,False,TESTED,-0.8464714064374572,0.292,0.465467060660444,NOT_HOT
8a6014533497fff,117,6,2,False,TESTED,0.9390342881447328,0.406,0.4873234322649205,NOT_SIGNIFICANT
8a60145334affff,117,6,3,False,TESTED,-0.516155901411676,0.101,0.36135739396482025,NOT_HOT
8a60145334b7fff,117,6,2,False,TESTED,0.9390342881447328,0.432,0.4892510225002893,NOT_SIGNIFICANT
8a6014533557fff,442,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a6014536497fff,443,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a601458031ffff,444,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a601458034ffff,42,17,4,False,TESTED,-0.8281558592889925,0.317,0.4693970996227559,NOT_HOT
8a601458035ffff,42,17,1,False,TESTED,-0.09849964955123992,0.127,0.38485641989950903,NOT_HOT
8a6014580367fff,42,17,2,False,TESTED,-0.7828016053170408,0.253,0.44734653094867327,NOT_HOT
8a601458036ffff,42,17,3,False,TESTED,-0.7961919731966497,0.225,0.43809522648967764,NOT_HOT
8a6014580527fff,11,64,2,False,TESTED,0.801871863297119,0.355,0.478131395186821,NOT_SIGNIFICANT
8a6014580807fff,98,7,3,False,TESTED,-0.021717789724413024,0.484,0.4995878885112284,NOT_HOT
8a6014580817fff,98,7,6,False,SPATIAL_STAT_FAILED,,,,NOT_TESTED
8a601458081ffff,98,7,3,False,TESTED,0.03513310926101606,0.373,0.48355557220150724,NOT_SIGNIFICANT
8a6014580837fff,98,7,3,False,TESTED,0.9062735199532174,0.138,0.3912103898145284,NOT_SIGNIFICANT
8a60145808a7fff,98,7,3,False,TESTED,1.4994497651136285,0.092,0.35591064458137744,NOT_SIGNIFICANT
8a60145808affff,98,7,3,False,TESTED,0.5714584554360006,0.3,0.4679005419220933,NOT_SIGNIFICANT
8a60145808c7fff,445,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a601458092ffff,269,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a601458098ffff,98,7,3,False,TESTED,1.4425988661282019,0.147,0.3964892346761776,NOT_SIGNIFICANT
8a6014580ac7fff,42,17,3,False,TESTED,-0.21347142720637177,0.418,0.48833017349243163,NOT_HOT
8a6014580ad7fff,42,17,3,False,TESTED,-0.21347142720637177,0.467,0.49741245385706856,NOT_HOT
8a6014580adffff,42,17,3,False,TESTED,-0.42792928784163703,0.476,0.4995878885112284,NOT_HOT
8a6014580af7fff,42,17,2,False,TESTED,0.088327648493261,0.349,0.4781088973267681,NOT_SIGNIFICANT
8a6014580b67fff,446,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a6014580c67fff,270,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a6014580c77fff,270,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a6014580c87fff,11,64,1,False,TESTED,0.45915938575368404,0.419,0.4883357083523736,NOT_SIGNIFICANT
8a6014580c9ffff,11,64,3,False,TESTED,1.6753446311993907,0.035,0.25568238322255626,NOT_SIGNIFICANT
8a6014580cd7fff,11,64,1,False,TESTED,0.9033202784605033,0.154,0.4009841858607394,NOT_SIGNIFICANT
8a6014581017fff,166,4,3,False,SPATIAL_STAT_FAILED,,,,NOT_TESTED
8a601458101ffff,166,4,2,False,TESTED,0.05882352941176271,0.316,0.46913970893402024,NOT_SIGNIFICANT
8a6014581057fff,447,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a60145810a7fff,166,4,2,False,TESTED,1.3529411764705854,0.33,0.4721847089208925,NOT_SIGNIFICANT
8a60145810affff,166,4,3,False,SPATIAL_STAT_FAILED,,,,NOT_TESTED
8a6014581227fff,118,6,3,False,TESTED,-0.08689346333012345,0.482,0.4995878885112284,NOT_HOT
8a601458122ffff,118,6,2,False,TESTED,1.0023720147784516,0.492,0.4996789244567456,NOT_SIGNIFICANT
8a6014581237fff,118,6,3,False,TESTED,-1.6590932298479115,0.001,0.023090197175156837,NOT_HOT
8a601458124ffff,65,11,1,False,TESTED,1.7514164023374819,0.084,0.3487954818983845,NOT_SIGNIFICANT
8a6014581277fff,118,6,1,False,TESTED,1.659093229847918,0.208,0.42642897815757475,NOT_SIGNIFICANT
8a601458131ffff,118,6,3,False,TESTED,-1.6590932298479115,0.001,0.023090197175156837,NOT_HOT
8a60145813affff,118,6,2,False,TESTED,-1.0023720147784576,0.102,0.36135739396482025,NOT_HOT
8a6014581527fff,42,17,3,False,TESTED,2.0405499390203743,0.064,0.31639967917595263,NOT_SIGNIFICANT
8a6014581667fff,448,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a6014581687fff,119,6,3,False,TESTED,-1.9698097132592294,0.001,0.023090197175156837,NOT_HOT
8a601458168ffff,119,6,3,False,TESTED,-1.9698097132592294,0.001,0.023090197175156837,NOT_HOT
8a601458169ffff,119,6,3,False,TESTED,-0.14815133962310917,0.313,0.4688231905614775,NOT_HOT
8a60145816affff,119,6,2,False,TESTED,-1.818892727355569,0.001,0.023090197175156837,NOT_HOT
8a6014581a77fff,203,3,1,False,TESTED,0.7071067811867878,0.49,0.4995878885112284,NOT_SIGNIFICANT
8a6014581b4ffff,203,3,1,False,TESTED,0.7071067811867878,0.49,0.4995878885112284,NOT_SIGNIFICANT
