iter	RMSE
0	21.87111095
1	19.69717219
2	17.83540766
3	16.17069178
4	14.56928915
5	13.12912966
6	11.83426771
7	10.67036414
8	9.624526937
9	8.68516756
10	7.841871573
11	7.0852818
12	6.406992727
13	5.799454811
14	5.255887509
15	4.770199889
16	4.336917809
17	3.951116728
18	3.608359385
19	3.304637755
20	3.036318956
21	2.800095105
22	2.59293749
23	2.412055752
24	2.254863042
25	2.1189481
26	2.002054955
27	1.902070349
28	1.81701817
29	1.745059386
30	1.684495345
31	1.633772134
32	1.59148389
33	1.558871213
34	1.529395358
35	1.505086175
36	1.485095329
37	1.468696118
38	1.455271424
39	1.444301152
40	1.435349853
41	1.428054978
42	1.422629937
43	1.418219642
44	1.414636574
45	1.411207643
46	1.408422645
47	1.406504732
48	1.404605268
49	1.403063958
