iter	Passed	Remaining
0	146	7169
1	147	3539
2	148	2324
3	149	1722
4	150	1358
5	151	1114
6	153	940
7	154	809
8	155	707
9	156	625
10	157	558
11	158	502
12	159	455
13	161	414
14	162	378
15	163	347
16	164	319
17	165	294
18	166	272
19	167	251
20	169	233
21	170	216
22	171	201
23	172	187
24	173	173
25	174	161
26	175	149
27	177	139
28	178	129
29	179	119
30	180	110
31	181	102
32	182	94
33	183	86
34	184	79
35	185	72
36	187	65
37	188	59
38	189	53
39	190	47
40	191	42
41	193	36
42	193	31
43	194	26
44	195	21
45	197	17
46	198	12
47	199	8
48	200	4
49	201	0
